Year,Production
2010-11,52.22
2011-12,47.56
2012-13,40.68
2013-14,35.41
2014-15,33.66
2015-16,32.25
2016-17,31.9
2017-18,32.65
2018-19,32.87
2019-20,31.18
2020-21,28.67
2021-22,34.02
2022-23,33.66
2023-24,36.44
