Year,Production
2010-11,376.25
2011-12,387.78
2012-13,374.46
2013-14,380.46
2014-15,385.39
2015-16,413.14
2016-17,414.41
2017-18,413.61
2018-19,413.85
2019-20,425.95
2020-21,433.68
2021-22,435.29
2022-23,485.29
2023-24,503.35
