Year,Production
2010-11,37.68
2011-12,38.09
2012-13,37.86
2013-14,37.79
2014-15,37.46
2015-16,36.94
2016-17,36.01
2017-18,35.68
2018-19,34.2
2019-20,32.17
2020-21,30.49
2021-22,29.69
2022-23,29.18
2023-24,29.36
