Year,Production
2010-11,811
2011-12,877
2012-13,912
2013-14,967
2014-15,1048
2015-16,1107
2016-17,1161
2017-18,1206
2018-19,1248
2019-20,1330
2020-21,1391
2021-22,1491
2022-23,1606
2023-24,1750
2024-25,1870
